                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.92688,                 3.1555,                  1.291,                0.88909,                0.52258,                0.72634,                0.50933,                 1.5478,                 1.5842,                 1.3311,                      0,                      0,                      0
                      2,                 1.1608,                  3.127,                 1.5165,                0.90393,                0.52661,                0.73151,                 0.4964,                 1.5466,                  1.549,                 1.3221,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                 1.3904,                 3.7087,                 1.7721,                0.90609,                0.53027,                0.73663,                0.51801,                 1.5444,                 1.5427,                 1.3215,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                 1.5458,                 2.9626,                 1.7659,                0.90733,                0.53498,                0.74973,                0.51561,                 1.5092,                  1.527,                 1.3044,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                  1.137,                 2.7898,                 1.3956,                0.61264,                0.71723,                 0.7526,                0.53396,                 1.5133,                 1.5476,                 1.3047,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                 1.3341,                 3.4273,                 1.6838,                0.61898,                0.73384,                0.74927,                0.54843,                 1.5138,                 1.5482,                 1.3075,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                 1.0494,                 3.0198,                 1.4028,                0.91053,                   0.55,                0.74976,                0.55084,                 1.5243,                 1.5996,                 1.3126,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                 1.4506,                 2.2105,                 1.7646,                0.91137,                   0.55,                0.74963,                0.54794,                 1.5386,                 1.6487,                 1.3216,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                0.92539,                 2.5724,                  1.364,                0.91193,                   0.55,                 0.7511,                0.52889,                 1.5405,                 1.7193,                 1.3285,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                0.97323,                 2.3933,                 1.3238,                0.91511,                   0.55,                0.75332,                0.51982,                 1.5657,                 1.7513,                 1.3417,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                0.91915,                 2.2526,                  1.209,                0.92784,                   0.55,                 0.7536,                0.51942,                 1.5853,                 1.7987,                 1.3724,             1.0722e-05,             1.0722e-05,             1.0722e-05
