1	0.9410 0.0363 0.9820 0.0363 0.9820 0.0466 0.9410 0.0466	"AL-DH-36"
2	0.9380 0.0544 0.9829 0.0544 0.9829 0.0641 0.9380 0.0641	"17.05.2012"
3	0.0513 0.0931 0.0928 0.0931 0.0928 0.1046 0.0513 0.1046	"SCHNITT"
4	0.0958 0.0937 0.1116 0.0937 0.1116 0.1040 0.0958 0.1040	"A-A"
5	0.0817 0.1300 0.0872 0.1300 0.0872 0.1360 0.0817 0.1360	"Pa"
6	0.0688 0.1602 0.1437 0.1602 0.1437 0.1699 0.0688 0.1699	"KRALLENHALTER"
7	0.1338 0.5599 0.1411 0.5599 0.1411 0.5653 0.1338 0.5653	"No)"
8	0.1150 0.5877 0.1218 0.5877 0.1218 0.5998 0.1150 0.5998	"25"
9	0.0663 0.7690 0.0735 0.7690 0.0735 0.8307 0.0663 0.8307	"ACHSMAB"
10	0.0693 0.7545 0.0714 0.7545 0.0714 0.7630 0.0693 0.7630	"="
11	0.0663 0.7195 0.0735 0.7195 0.0735 0.7485 0.0663 0.7485	"MAX:"
12	0.0667 0.6929 0.0735 0.6929 0.0735 0.7140 0.0667 0.7140	"400"
13	0.0962 0.2019 0.1184 0.2019 0.1184 0.2086 0.0962 0.2086	"ga."
14	0.1437 0.2062 0.1471 0.2062 0.1471 0.2116 0.1437 0.2116	"%"
15	0.1997 0.2056 0.2005 0.2056 0.2005 0.2068 0.1997 0.2068	"we"
16	0.1484 0.5030 0.1535 0.5030 0.1535 0.5133 0.1484 0.5133	"o"
17	0.1599 0.5030 0.1646 0.5030 0.1646 0.5133 0.1599 0.5133	"m"
18	0.1723 0.5030 0.1779 0.5030 0.1779 0.5133 0.1723 0.5133	"x="
19	0.2159 0.5079 0.2193 0.5079 0.2193 0.5127 0.2159 0.5127	"8"
20	0.2411 0.4788 0.2463 0.4788 0.2463 0.4891 0.2411 0.4891	"Te"
21	0.2471 0.4788 0.2531 0.4788 0.2531 0.4891 0.2471 0.4891	"D>."
22	0.2582 0.4788 0.2698 0.4788 0.2698 0.5012 0.2582 0.5012	"Ca"
23	0.2642 0.4788 0.2689 0.4788 0.2689 0.4891 0.2642 0.4891	"m"
24	0.2698 0.4704 0.2770 0.4704 0.2770 0.4891 0.2698 0.4891	"D>"
25	0.0894 0.6548 0.1013 0.6548 0.1013 0.6651 0.0894 0.6651	"UK"
26	0.1069 0.6548 0.1637 0.6548 0.1637 0.6651 0.1069 0.6651	"TRAGPROFIL"
27	0.1680 0.6481 0.1749 0.6481 0.1749 0.6620 0.1680 0.6620	"f."
28	0.1424 0.8204 0.1501 0.8204 0.1501 0.8954 0.1424 0.8954	"ALPHATON"
29	0.1466 0.8108 0.1475 0.8108 0.1475 0.8144 0.1466 0.8144	"-"
30	0.1424 0.7068 0.1501 0.7068 0.1501 0.8059 0.1424 0.8059	"ZIEGELPLATTE"
31	0.1992 0.7817 0.2031 0.7817 0.2031 0.7920 0.1992 0.7920	"w"
32	0.1997 0.7860 0.2116 0.7860 0.2116 0.7902 0.1997 0.7902	"So"
33	0.1629 0.5520 0.1911 0.5520 0.1911 0.5659 0.1629 0.5659	"ACHSE"
34	0.2133 0.5538 0.2180 0.5538 0.2180 0.5611 0.2133 0.5611	"ok"
35	0.2193 0.5538 0.2257 0.5538 0.2257 0.5623 0.2193 0.5623	"A"
36	0.1808 0.5526 0.2356 0.5526 0.2356 0.7576 0.1808 0.7576	"OD"
37	0.2245 0.6759 0.2283 0.6759 0.2283 0.6808 0.2245 0.6808	"4"
38	0.2270 0.6034 0.2287 0.6034 0.2287 0.6288 0.2270 0.6288	"ae"
39	0.2326 0.6499 0.2334 0.6499 0.2334 0.6511 0.2326 0.6511	"."
40	0.2287 0.6064 0.2322 0.6064 0.2322 0.6252 0.2287 0.6252	"8"
41	0.2240 0.7775 0.2343 0.7775 0.2343 0.7920 0.2240 0.7920	"gies,"
42	0.2240 0.7690 0.2343 0.7690 0.2343 0.7775 0.2240 0.7775	"aM"
43	0.2257 0.7037 0.2309 0.7037 0.2309 0.7243 0.2257 0.7243	"[bk"
44	0.2343 0.8392 0.2351 0.8392 0.2351 0.8404 0.2343 0.8404	"‘"
45	0.2317 0.7666 0.2369 0.7666 0.2369 0.7860 0.2317 0.7860	"a”"
46	0.2334 0.7007 0.2351 0.7007 0.2351 0.7237 0.2334 0.7237	"ee"
47	0.2347 0.9196 0.2390 0.9196 0.2390 0.9250 0.2347 0.9250	"A"
48	0.1680 0.8428 0.2223 0.8428 0.2223 0.9522 0.1680 0.9522	"EI"
49	0.2266 0.8549 0.3433 0.8549 0.3433 0.9432 0.2266 0.9432	"tt"
50	0.3570 0.8797 0.4010 0.8797 0.4010 0.9613 0.3570 0.9613	"re"
51	0.4305 0.8755 0.4506 0.8755 0.4506 0.8851 0.4305 0.8851	"me"
52	0.0868 0.9704 0.0996 0.9704 0.0996 0.9794 0.0868 0.9794	"Der"
53	0.1030 0.9704 0.1227 0.9704 0.1227 0.9794 0.1030 0.9794	"Inhalt"
54	0.1257 0.9704 0.1488 0.9704 0.1488 0.9794 0.1257 0.9794	"dieser"
55	0.1513 0.9704 0.1915 0.9704 0.1915 0.9819 0.1513 0.9819	"Zeichnung"
56	0.1950 0.9704 0.2150 0.9704 0.2150 0.9794 0.1950 0.9794	"bleibt"
57	0.2185 0.9728 0.2390 0.9728 0.2390 0.9794 0.2185 0.9794	"unser"
58	0.2424 0.9704 0.2758 0.9704 0.2758 0.9819 0.2424 0.9819	"geistiges"
59	0.2796 0.9704 0.3142 0.9704 0.3142 0.9819 0.2796 0.9819	"Eigentum."
60	0.3189 0.9704 0.3373 0.9704 0.3373 0.9794 0.3189 0.9794	"Jede"
61	0.3403 0.9704 0.3899 0.9704 0.3899 0.9819 0.3403 0.9819	"Verwendung,"
62	0.3938 0.9704 0.4451 0.9704 0.4451 0.9794 0.3938 0.9794	"insbesondere"
63	0.4485 0.9704 0.4592 0.9704 0.4592 0.9794 0.4485 0.9794	"die"
64	0.4622 0.9704 0.5053 0.9704 0.5053 0.9819 0.4622 0.9819	"Weitergabe,"
65	0.5105 0.9704 0.5699 0.9704 0.5699 0.9819 0.5105 0.9819	"Vervielfaltigung,"
66	0.5733 0.9704 0.6345 0.9704 0.6345 0.9819 0.5733 0.9819	"Verdffentlichung"
67	0.6383 0.9704 0.6516 0.9704 0.6516 0.9794 0.6383 0.9794	"und"
68	0.6550 0.9704 0.7354 0.9704 0.7354 0.9819 0.6550 0.9819	"Zurverflgungstellung"
69	0.7392 0.9704 0.7631 0.9704 0.7631 0.9794 0.7392 0.9794	"bedarf"
70	0.7657 0.9728 0.7939 0.9728 0.7939 0.9794 0.7657 0.9794	"unserer"
71	0.7969 0.9704 0.8542 0.9704 0.8542 0.9794 0.7969 0.9794	"ausdrucklichen"
72	0.8572 0.9704 0.9068 0.9704 0.9068 0.9819 0.8572 0.9819	"Zustimmung."
73	0.2890 0.2328 0.2959 0.2328 0.2959 0.2455 0.2890 0.2455	"S"
74	0.4498 0.2322 0.4964 0.2322 0.4964 0.2485 0.4498 0.2485	"MOEDING-"
75	0.4510 0.2491 0.4917 0.2491 0.4917 0.2648 0.4510 0.2648	"FENSTER'"
76	0.4190 0.5556 0.4468 0.5556 0.4468 0.5677 0.4190 0.5677	"WARM"
77	0.2903 0.3096 0.3467 0.3096 0.3467 0.3313 0.2903 0.3313	"a"
78	0.4207 0.3277 0.4215 0.3277 0.4215 0.3289 0.4207 0.3289	"ar"
79	0.4878 0.3295 0.4887 0.3295 0.4887 0.3307 0.4878 0.3307	"é"
80	0.3010 0.3368 0.3155 0.3368 0.3155 0.3410 0.3010 0.3410	"a"
81	0.4297 0.3307 0.4301 0.3307 0.4301 0.3319 0.4297 0.3319	"|"
82	0.4472 0.3265 0.4639 0.3265 0.4639 0.3416 0.4472 0.3416	"oD"
83	0.3035 0.3416 0.3078 0.3416 0.3078 0.3470 0.3035 0.3470	"¢"
84	0.4451 0.3434 0.4472 0.3434 0.4472 0.3470 0.4451 0.3470	"7"
85	0.2753 0.3464 0.2903 0.3464 0.2903 0.3736 0.2753 0.3736	"cS"
86	0.4485 0.3597 0.4613 0.3597 0.4613 0.3634 0.4485 0.3634	"ae"
