Nummerierung	Text
Box 1	AL-DH-42
Box 2	18052012
Box 3	ALPHATON
Box 4	Ziegelfassade
Box 5	Querformat- Ausführung
Box 6	NACH STATIK
Box 7	2710b
Box 8	E
Box 9	Tiefe Fensterleibung
Box 10	1
Box 11	mit Rollstore
Box 12	GEEIGNETE
Box 13	EVTL
Box 14	Alu-Unterkonstruktion
Box 15	DÜBEL
Box 16	GEMAß
Box 17	ABDICHTUNG
Box 18	STATIK
Box 19	THERM
Box 20	L
Box 21	WANDWINKEL
Box 22	VERBINDUNGS
Box 23	AUSSENRAFFSTORE
Box 24	ZIEGELPLATTE
Box 25	WÄRMEDÄMMUNG
Box 26	MITTEL
Box 27	GRBTPRSFIL
Box 28	25
Box 29	8
Box 30	ALPHATON
Box 31	MAX
Box 32	TRAGPROFIL
Box 33	BOHRSCHRAUBE
Box 34	LUFTRAUM
Box 35	PROFIL
Box 36	PLATTEN
Box 37	WERKSEITIG
Box 38	HALTER
Box 39	VERBUNDENE PLATTE
Box 40	ALPHATON
Box 41	ZIEGELPLATTE
Box 42	MAX
Box 43	1492
Box 44	Der Inhalt dieser Zeichnung bleibt unser geistiges Eigentum  Jede Verwendung
Box 45	insbesondere die Weitergabe  Vervielfältigung  Veröffentlichung und Zurverfügungstellung bedarf unserer ausdrücklichen Zustimmung
