Box#	Text	BoundingBox
1	AL-DH-42	4411 121 4615 121 4615 163 4411 163
2	18052012	4388 178 4616 178 4616 230 4388 230
3	ALPHATON	3721 293 4084 293 4084 371 3721 371
4	Ziegelfassade	4122 299 4553 299 4553 387 4122 387
5	Querformat- Ausführung	3730 399 4296 399 4296 466 3730 466
6	NACH STATIK	1772 419 2065 419 2065 471 1772 471
7	2710b	3730 470 3915 470 3915 531 3730 531
8	E	3943 478 4163 478 4163 530 3943 530
9	Tiefe Fensterleibung	3729 535 4202 535 4202 613 3729 613
10	1	3730 616 4120 616 4120 677 3730 677
11	mit Rollstore	4132 616 4427 616 4427 677 4132 677
12	GEEIGNETE	3365 712 3614 712 3614 764 3365 764
13	EVTL	3242 713 3350 713 3350 755 3242 755
14	Alu-Unterkonstruktion	3731 719 4228 719 4228 771 3731 771
15	DÜBEL	1179 740 1327 740 1327 801 1179 801
16	GEMAß	1582 748 1743 748 1743 800 1582 800
17	ABDICHTUNG	3241 763 3534 763 3534 815 3241 815
18	STATIK	1582 800 1736 800 1736 851 1582 851
19	THERM	1750 909 1919 909 1919 961 1750 961
20	L	1749 974 2102 974 2102 1035 1749 1035
21	WANDWINKEL	1333 1275 1633 1275 1633 1326 1333 1326
22	VERBINDUNGS	1289 1589 1612 1589 1612 1641 1289 1641
23	AUSSENRAFFSTORE	4023 1604 4462 1604 4462 1655 4023 1655
24	ZIEGELPLATTE	2985 1618 3037 1618 3037 1933 2985 1933
25	WÄRMEDÄMMUNG	433 1632 845 1632 845 1693 433 1693
26	MITTEL	1290 1656 1442 1656 1442 1698 1290 1698
27	GRBTPRSFIL	1460 1781 1785 1781 1785 1894 1460 1894
28	25	3462 1913 3495 1913 3495 1960 3462 1960
29	8	1599 1943 1638 1943 1638 1959 1599 1959
30	ALPHATON	2985 1962 3037 1962 3037 2204 2985 2204
31	MAX	3462 1971 3495 1971 3495 2077 3462 2077
32	TRAGPROFIL	726 2035 1005 2035 1005 2087 726 2087
33	BOHRSCHRAUBE	1435 2035 1809 2035 1809 2087 1435 2087
34	LUFTRAUM	771 2321 1019 2321 1019 2363 771 2363
35	PROFIL	1729 2343 1859 2343 1859 2385 1729 2385
36	PLATTEN	2079 2408 2277 2408 2277 2459 2079 2459
37	WERKSEITIG	2963 2451 3234 2451 3234 2503 2963 2503
38	HALTER	2094 2474 2261 2474 2261 2517 2094 2517
39	VERBUNDENE PLATTE	2963 2525 3432 2525 3432 2576 2963 2576
40	ALPHATON	1428 2795 1692 2795 1692 2847 1428 2847
41	ZIEGELPLATTE	1721 2795 2065 2795 2065 2847 1721 2847
42	MAX	1137 3001 1245 3001 1245 3043 1137 3043
43	1492	1268 3001 1369 3001 1369 3043 1268 3043
44	Der Inhalt dieser Zeichnung bleibt unser geistiges Eigentum  Jede Verwendung	427 3197 1845 3197 1845 3249 427 3249
45	insbesondere die Weitergabe  Vervielfältigung  Veröffentlichung und Zurverfügungstellung bedarf unserer ausdrücklichen Zustimmung	1859 3197 4279 3197 4279 3249 1859 3249
