Box#	Text	BoundingBox
1	DH-32	4454 112 4594 112 4594 164 4454 164
2	7	4390 122 4438 122 4438 148 4390 148
3	17052012	4374 171 4601 171 4601 223 4374 223
4	Ziegelfassade	4113 290 4548 290 4548 387 4113 387
5	ALPHATON	3714 293 4077 293 4077 371 3714 371
6	Querformat- Ausführung	3722 406 4282 406 4282 473 3722 473
7	252	3708 470 3842 470 3842 538 3708 538
8	2	4023 485 4082 485 4082 537 4023 537
9	5	3878 486 4008 486 4008 529 3878 529
10	Ortgang Flachdach	3722 550 4171 550 4171 611 3722 611
11	ALU - ATTIKA	2246 616 2526 616 2526 677 2246 677
12	1	3715 623 4222 623 4222 684 3715 684
13	1	3723 741 4221 741 4221 793 3723 793
14	O-HALTER	1203 1137 1428 1137 1428 1179 1203 1179
15	BOHRSCHR	1853 1210 2108 1210 2108 1252 1853 1252
16	MD	1831 1268 1925 1268 1925 1311 1831 1311
17	KEILBOHLE	3226 1384 3475 1384 3475 1436 3226 1436
18	ACHSE	990 1428 1144 1428 1144 1480 990 1480
19	VERTIKALES	1984 1443 2247 1443 2247 1495 1984 1495
20	GRUNDPROFIL	1984 1501 2299 1501 2299 1553 1984 1553
21	TRAG-	1612 1510 1749 1510 1749 1552 1612 1552
22	PROFIL	1611 1560 1765 1560 1765 1612 1611 1612
23	WARMEDAMMUNG	2232 1962 2635 1962 2635 2014 2232 2014
24	ALPHATON - ZIEGELPLATTE	909 2166 961 2166 961 2803 909 2803
25	THERM	2765 2224 2928 2224 2928 2285 2765 2285
26	30	1173 2262 1223 2262 1223 2305 1173 2305
27	30	1612 2262 1662 2262 1662 2305 1612 2305
28	TRENNELEMENT	2766 2291 3117 2291 3117 2343 2766 2343
29	ACHSMASS MAX 400	420 2394 463 2394 463 2846 420 2846
30	1	2261 2503 2562 2503 2562 2554 2261 2554
31	DUBEL	2824 2766 2971 2766 2971 2818 2824 2818
32	GEMAß STATIK	2825 3023 3138 3023 3138 3065 2825 3065
33	GLEITPUNKT	2276 3036 2554 3036 2554 3088 2276 3088
34	insbesondere die Weitergabe Vervielfältigung Veröffentlichung und Zurverfügungstellung bedarf unserer ausdrücklichen Zustimmung	1858 3198 4251 3198 4251 3258 1858 3258
35	geistiges Eigentum	1143 3204 1495 3204 1495 3256 1143 3256
36	ğ	420 3205 492 3205 492 3248 420 3248
37	Inhalt	501 3205 595 3205 595 3241 501 3241
38	Zeichnung bleibt unse	727 3205 1128 3205 1128 3248 727 3248
39	Verwendung	1604 3205 1838 3205 1838 3249 1604 3249
40	ğ	604 3214 703 3214 703 3240 604 3240
41	ğ	1525 3214 1595 3214 1595 3240 1525 3240
