Box#	Text	BoundingBox
1	DH-32	2227 56 2297 56 2297 82 2227 82
2	1	2195 61 2219 61 2219 74 2195 74
3	17052012	2187 85 2300 85 2300 111 2187 111
4	1	2056 145 2274 145 2274 193 2056 193
5	ALPHATON	1857 146 2038 146 2038 185 1857 185
6	1	1861 203 2140 203 2140 236 1861 236
7	252	1854 235 1920 235 1920 268 1854 268
8	2	2011 242 2041 242 2041 268 2011 268
9	5	1939 243 2003 243 2003 264 1939 264
10	Ortgang	1861 275 1960 275 1960 305 1861 305
11	achdach	1982 275 2085 275 2085 301 1982 301
12	ALU - ATTIKA	1123 308 1262 308 1262 338 1123 338
13	1	1858 312 2110 312 2110 341 1858 341
14	Alu-Unterkonstruktion	1861 370 2110 370 2110 396 1861 396
15	O-HALTER	602 569 713 569 713 589 602 589
16	BOHRSCHR	927 605 1053 605 1053 625 927 625
17	7	916 634 962 634 962 655 916 655
18	KEILBOHLE	1613 692 1737 692 1737 718 1613 718
19	ACHSE	495 714 572 714 572 740 495 740
20	VERTIKALES	992 721 1123 721 1123 747 992 747
21	GRUNDPROFIL	992 750 1149 750 1149 776 992 776
22	TRAG-	806 755 874 755 874 775 806 775
23	PROFIL	805 780 882 780 882 806 805 806
24	1	1116 981 1317 981 1317 1007 1116 1007
25	ALPHATON - ZIEGELPLATTE	454 1087 480 1087 480 1401 454 1401
26	THERM	1383 1116 1463 1116 1463 1142 1383 1142
27	30	587 1131 611 1131 611 1152 587 1152
28	30	806 1131 830 1131 830 1152 806 1152
29	TRENNEL	1383 1145 1474 1145 1474 1171 1383 1171
30	EMENT	1481 1145 1558 1145 1558 1171 1481 1171
31	ACHSMASS MAX 400	210 1197 231 1197 231 1422 210 1422
32	WANDWINKEL	1130 1251 1281 1251 1281 1277 1130 1277
33	5	777 1318 801 1318 801 1334 777 1334
34	DUBEL	1413 1384 1484 1384 1484 1404 1413 1404
35	GEMAß STATIK	1413 1512 1568 1512 1568 1532 1413 1532
36	GLEITPUNKT	1138 1518 1277 1518 1277 1544 1138 1544
37	die Weitergabe Vervielfältigung  Veröffentlichung und Zurverfügungstellung bedarf unsere	1057 1602 1862 1602 1862 1628 1057 1628
38	Der	210 1603 245 1603 245 1623 210 1623
39	nhalt	251 1603 297 1603 297 1620 251 1620
40	Zeichnung bleibt unse	364 1603 563 1603 563 1623 364 1623
41	geistiges Eigentum	572 1603 746 1603 746 1623 572 1623
42	insbesondere	930 1603 1049 1603 1049 1620 930 1620
43	ausdrücklichen Zustimmuna	1870 1603 2124 1603 2124 1620 1870 1620
44	alese	302 1607 351 1607 351 1620 302 1620
45	ğ	766 1607 797 1607 797 1620 766 1620
46	verwendung	803 1607 918 1607 918 1623 803 1623
