Nummerierung	Text
Box 1	AL-DH-32
Box 2	17.05.2012
Box 3	ALPHATON
Box 4	-
Box 5	Ziegelfassade
Box 6	Querformat-
Box 7	2.5.2
Box 8	M1:1(V)
Box 9	Ortgang
Box 10	Flachdach
Box 11	ALU
Box 12	-
Box 13	ATTIKA
Box 14	mit
Box 15	Al-Ortgangblende
Box 16	=
Box 17	CX
Box 18	AX
Box 19	TY
Box 20	S
Box 21	2
Box 22	BAA
Box 23	O-HALTER
Box 24	BOHRSCHR.
Box 25	VERTIKALES
Box 26	GRUNDPROFIL
Box 27	TRENNELEMENT
Box 28	)
Box 29	ALPHATON
Box 30	-
Box 31	ZIEGELPLATTE
Box 32	ACHSMASS
Box 33	MAX.
Box 34	400
Box 35	Der
Box 36	Inhalt
Box 37	dieser
Box 38	Zeichnung
Box 39	bleibt
Box 40	unser
Box 41	geistiges
Box 42	Eigentum.
Box 43	Jede
Box 44	Verwendung,
Box 45	insbesondere
Box 46	die
Box 47	Weitergabe,
Box 48	Vervielfaltigung,
Box 49	Verdffentlichung
Box 50	und
Box 51	Zurverfugungstellung
Box 52	bedarf
Box 53	unserer
Box 54	ausdrucklichen
Box 55	Zustimmung.
Box 56	
