Nummerierung	Text
Box 1	NACH
Box 2	STATIK
Box 3	12
Box 4	8
Box 5	EVTL.
Box 6	GEEIGNETE
Box 7	ABDICHTUNG
Box 8	AL-DH-42
Box 9	18.05.2012
Box 10	®
Box 11	ALPHATON
Box 12	-
Box 13	Ziegelfassade
Box 14	Querformat-
Box 15	Ausfuhrung
Box 16	2.7.100
Box 17	M
Box 18	1:1
Box 19	(H)
Box 20	Tiefe
Box 21	Fensterleibung
Box 22	mit
Box 23	Ziegelplatten
Box 24	mit
Box 25	Rollstore
Box 26	Alu-Unterkonstruktion
Box 27	VERBINDUNGS-
Box 28	AUSSENRAFFSTORE
Box 29	VERTIKALES
Box 30	GRUNDPROFIL
Box 31	~~
Box 32	BOHRSCHRAUBE
Box 33	MAX:
Box 34	250
Box 35	TRAGPROFIL
Box 36	E
Box 37	w
Box 38	N
Box 39	O
Box 40	<
Box 41	A-
Box 42	WERKSEITIG
Box 43	VERBUNDENE
Box 44	PLATTE
Box 45	ALPHATON
Box 46	-
Box 47	ZIEGELPLATTE
Box 48	MAX.
Box 49	1492
Box 50	 
Box 51	Der
Box 52	Inhalt
Box 53	dieser
Box 54	Zeichnung
Box 55	bleibt
Box 56	unser
Box 57	geistiges
Box 58	Eigentum.
Box 59	Jede
Box 60	Verwendung,
Box 61	insbesondere
Box 62	die
Box 63	Weitergabe,
Box 64	Vervielfaltigung,
Box 65	und
Box 66	bedarf
Box 67	unserer
Box 68	ausdrUcklichen
Box 69	Zustimmung.
