                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.93174,                 3.1532,                 1.2904,                0.89006,                0.52193,                0.72647,                0.50933,                 1.5478,                 1.5827,                 1.3312,                      0,                      0,                      0
                      2,                 1.1613,                 3.1273,                 1.5172,                0.90414,                0.52615,                0.74227,                0.50048,                 1.5473,                 1.5505,                  1.323,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                 1.3898,                 3.7094,                 1.7727,                0.90608,                0.53027,                0.73659,                0.50946,                 1.5446,                 1.5442,                 1.3209,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                 1.5472,                 2.9681,                 1.7662,                0.90726,                0.53492,                0.74974,                 0.5156,                 1.5114,                 1.5267,                  1.307,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                 1.2188,                 2.8016,                 1.5965,                0.61456,                0.72109,                0.75001,                0.54222,                 1.5016,                 1.5546,                 1.3031,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                0.60775,                 2.1807,                 1.0053,                0.61983,                0.70423,                0.74961,                0.54314,                 1.5187,                 1.5945,                 1.3056,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                 1.1253,                 3.2012,                 1.4461,                0.91386,                   0.55,                 0.7507,                 0.5405,                 1.5317,                 1.6643,                 1.3098,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                 1.1465,                 2.7071,                 1.5617,                0.91246,                   0.55,                0.74925,                0.53162,                 1.5446,                 1.7166,                 1.3153,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                0.89372,                 2.2891,                 1.2313,                0.91877,                   0.55,                0.74939,                0.52945,                 1.5556,                 1.7394,                 1.3269,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                 1.1358,                 2.3401,                 1.3538,                0.93031,                   0.55,                0.75119,                0.52332,                 1.5713,                 1.7879,                 1.3377,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                 1.2188,                 2.2111,                  1.524,                0.94327,                0.53297,                0.75331,                0.52452,                 1.5663,                 1.8361,                 1.3595,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                 1.4539,                 1.8831,                 1.7718,                0.94205,                   0.55,                0.75341,                 0.5171,                 1.5737,                 1.8991,                 1.3699,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                 1.2442,                 2.5456,                 1.5344,                 0.9119,                   0.55,                0.75288,                0.52407,                 1.5548,                  1.933,                 1.3594,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                 1.1629,                 3.0722,                 1.5813,                0.88286,                   0.55,                0.75278,                0.51303,                 1.5514,                 1.9594,                 1.3585,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                 1.0176,                 3.3407,                 1.4055,                0.88308,                   0.55,                0.65995,                0.50846,                  1.549,                 1.9909,                 1.3579,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                 1.2128,                 2.8853,                  1.528,                0.86979,                   0.55,                0.63197,                0.47723,                 1.5438,                  2.049,                 1.3571,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                0.81377,                 2.6986,                 1.3346,                0.84704,                   0.55,                0.61873,                0.46633,                 1.5515,                 2.1002,                 1.3612,             1.6024e-05,             1.6024e-05,             1.6024e-05
